usps	geoid	ansicode	name	pop10	hu10	aland	awater	aland_sqmi	awater_sqmi	intptlat	intptlong	statepop	statearea	perc_pop	perc_area	multiplier	funding	corrected_funding
AL	1001	161526	Autauga County	54571	22135	1539582278	25775735	594.436	9.952	32.536382	-86.64449	4779736	50645	0.011417158	0.011737233	0.079	8528061	9197514
AL	1003	161527	Baldwin County	182265	104061	4117521611	1133190229	1589.784	437.527	30.659218	-87.746067	4779736	50645	0.038132859	0.031390538	-0.047	25153406	23968681
AL	1005	161528	Barbour County	27457	11829	2291818968	50864716	884.876	19.639	31.87067	-85.405456	4779736	50645	0.00574446	0.017472017	0.075	9221638	9911417
AL	1007	161529	Bibb County	22915	8981	1612480789	9289057	622.582	3.587	33.015893	-87.127148	4779736	50645	0.004794198	0.012292981	0.034	6720468	6946948
AL	1009	161530	Blount County	57322	23887	1669961855	15157440	644.776	5.852	33.977448	-86.567246	4779736	50645	0.011992713	0.012731205	0.017	9129465	9281927
AL	1011	161531	Bullock County	10914	4493	1613056905	6056528	622.805	2.338	32.101759	-85.717261	4779736	50645	0.00228339	0.012297384	-0.034	5947259	5747431
AL	1013	161532	Butler County	20947	9964	2011976894	2726814	776.829	1.053	31.751667	-86.681969	4779736	50645	0.00438246	0.015338612	-0.003	7891718	7868043
AL	1015	161533	Calhoun County	118572	53289	1569189995	16624267	605.868	6.419	33.771706	-85.822513	4779736	50645	0.024807228	0.01196296	-0.056	12757804	12042092
AL	1017	161534	Chambers County	34215	17004	1545009282	17048142	596.531	6.582	32.917943	-85.391812	4779736	50645	0.007158345	0.0117786	-0.008	7231000	7176767
AL	1019	161535	Cherokee County	25989	16267	1434075952	119858898	553.7	46.278	34.069515	-85.654242	4779736	50645	0.00543733	0.010932895	0.015	6339198	6435554
AL	1021	161536	Chilton County	43643	19278	1794483586	20586383	692.854	7.948	32.854059	-86.726627	4779736	50645	0.009130839	0.013680512	-0.056	8650695	8169716
AL	1023	161537	Choctaw County	13859	7269	2365954748	19059251	913.5	7.359	31.991008	-88.248887	4779736	50645	0.002899533	0.018037203	-0.088	8584347	7828066
AL	1025	161538	Clarke County	25833	12638	3207609488	36542656	1238.465	14.109	31.685521	-87.818624	4779736	50645	0.005404692	0.024453688	0.062	12093039	12846435
AL	1027	161539	Clay County	13932	6776	1564252280	5284628	603.961	2.04	33.267809	-85.862051	4779736	50645	0.002914805	0.011925306	-0.001	5983560	5978773
AL	1029	161540	Cleburne County	14972	6718	1450652767	2365681	560.1	0.913	33.671981	-85.516109	4779736	50645	0.003132391	0.011059264	0.009	5681534	5729828
AL	1031	161541	Coffee County	49948	22330	1758528786	3944730	678.972	1.523	31.402183	-85.989201	4779736	50645	0.01044995	0.01340641	0.049	8941054	9382742
AL	1033	161542	Colbert County	54428	25758	1534877333	76430813	592.619	29.51	34.703112	-87.801457	4779736	50645	0.01138724	0.011701356	-0.087	8503531	7762874
AL	1035	161543	Conecuh County	13228	7093	2201894769	6644940	850.156	2.566	31.428292	-86.992029	4779736	50645	0.002767517	0.016786465	0.054	8010405	8442967
AL	1037	161544	Coosa County	11539	6478	1685891075	39946646	650.926	15.423	32.931445	-86.243482	4779736	50645	0.00241415	0.012852637	-0.02	6224329	6097353
AL	1039	161545	Covington County	37765	18829	2668869505	34526309	1030.456	13.331	31.243987	-86.448721	4779736	50645	0.007901064	0.020346518	-0.025	11112782	10839407
AL	1041	161546	Crenshaw County	13906	6735	1576888006	5376392	608.84	2.076	31.732826	-86.319222	4779736	50645	0.002909366	0.012021643	0.076	6022949	6481898
AL	1043	161547	Cullman County	80406	37054	1903228333	52266921	734.841	20.18	34.131923	-86.869267	4779736	50645	0.016822268	0.014509552	-0.03	11378459	11032554
AL	1045	161548	Dale County	50251	22677	1453371157	4016457	561.15	1.551	31.430654	-85.609476	4779736	50645	0.010513342	0.011079996	0.012	7968873	8061312
AL	1047	161549	Dallas County	43820	20208	2534807386	39134826	978.695	15.11	32.33354	-87.114356	4779736	50645	0.00916787	0.019324488	-0.079	11068154	10190449
AL	1049	161550	DeKalb County	71109	31109	2012662359	4123588	777.093	1.592	34.460929	-85.803992	4779736	50645	0.014877182	0.015343825	-0.033	11133661	10766251
AL	1051	161551	Elmore County	79303	32657	1601867593	99862541	618.485	38.557	32.597229	-86.142738	4779736	50645	0.016591502	0.012212085	-0.092	10327811	9379718
AL	1053	161552	Escambia County	38319	16486	2447746932	20873208	945.08	8.059	31.121747	-87.168429	4779736	50645	0.00801697	0.018660755	0.088	10429921	11344625
AL	1055	161553	Etowah County	104430	47454	1385618994	35322991	534.991	13.638	34.047638	-86.03442	4779736	50645	0.021848487	0.010563482	-0.031	11247843	10901410
AL	1057	161554	Fayette County	17241	8437	1625631609	4392821	627.66	1.696	33.732249	-87.752049	4779736	50645	0.003607103	0.012393247	0.076	6396755	6883548
AL	1059	161555	Franklin County	31704	14022	1641587713	32897905	633.821	12.702	34.441988	-87.842815	4779736	50645	0.006633002	0.012514896	-0.011	7382710	7303715
AL	1061	161556	Geneva County	26790	12687	1487710425	11765293	574.408	4.543	31.090866	-85.824346	4779736	50645	0.005604912	0.011341777	-0.005	6565238	6534381
AL	1063	161557	Greene County	9045	5007	1676007032	33231212	647.11	12.831	32.844497	-87.9642	4779736	50645	0.001892364	0.01277729	0.066	6031133	6426172
AL	1065	161558	Hale County	15760	7655	1667803914	32525967	643.943	12.558	32.752796	-87.623061	4779736	50645	0.003297253	0.012714757	0.018	6438165	6552764
AL	1067	161559	Henry County	17302	8891	1454926258	16986789	561.75	6.559	31.516978	-85.239971	4779736	50645	0.003619865	0.011091843	0.059	5845907	6190815
AL	1069	161560	Houston County	101547	45319	1501737720	4739984	579.824	1.83	31.158193	-85.296398	4779736	50645	0.021245316	0.011448717	-0.057	11439020	10784708
AL	1071	161561	Jackson County	53227	24786	2791664869	126657194	1077.868	48.903	34.763522	-85.9774	4779736	50645	0.011135971	0.021282675	0.056	12510482	13209818
AL	1073	161562	Jefferson County	658466	300552	2878192209	32474487	1111.276	12.538	33.553444	-86.896536	4779736	50645	0.137762002	0.021942321	-0.092	51881155	47087336
